url filename measure upper lower
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=392 1a62 treewidth 37 33
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=393 1a62-pp treewidth 37 33
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=403 1a8o treewidth 25 23
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=515 1aac treewidth 41 36
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=516 1aac-pp treewidth 41 36
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=514 1aba treewidth 29 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=513 1ail treewidth 24 24
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=517 1ail-pp treewidth 24 24
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=512 1awd treewidth 38 34
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=511 1b0n treewidth 32 31
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=518 1b0n-006 treewidth 32 31
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=510 1b67 treewidth 16 16
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=519 1b67-pp treewidth 16 16
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=509 1bbz treewidth 25 25
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=520 1bbz-pp treewidth 25 25
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=508 1bf4 treewidth 26 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=521 1bf4-pp treewidth 26 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=507 1bkb treewidth 30 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=522 1bkb-pp treewidth 30 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=506 1bkf treewidth 36 33
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=523 1bkf-pp treewidth 36 33
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=505 1bkr treewidth 44 37
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=504 1brf treewidth 22 22
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=524 1brf-pp treewidth 22 22
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=402 1bx7 treewidth 11 11
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=503 1bx7-pp treewidth 11 11
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=502 1c4q treewidth 31 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=501 1c5e treewidth 36 33
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=500 1c75 treewidth 30 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=499 1c9o treewidth 29 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=498 1cc8 treewidth 32 27
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=404 1cka treewidth 27 27
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=497 1ctj treewidth 33 31
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=496 1ctj-pp treewidth 33 31
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=495 1cuk treewidth 44 37
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=494 1cuk-pp treewidth 44 37
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=493 1czp treewidth 38 35
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=492 1d3b treewidth 25 24
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=491 1d3b-pp treewidth 25 24
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=490 1d4t treewidth 35 32
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=489 1d4t-pp treewidth 35 32
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=488 1dd3 treewidth 31 29
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=487 1dd3-pp treewidth 31 29
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=486 1dj7 treewidth 27 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=485 1dj7-pp treewidth 27 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=484 1dp7 treewidth 27 25
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=483 1dp7-pp treewidth 27 25
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=482 1e0b treewidth 24 23
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=480 1e0b-pp treewidth 24 23
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=479 1en2 treewidth 17 16
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=478 1en2-pp treewidth 17 16
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=477 1erv treewidth 41 36
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=476 1ezg treewidth 23 23
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=475 1f9m treewidth 45 38
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=474 1fjl treewidth 26 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=473 1fjl-pp treewidth 26 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=472 1fjl-pp-003 treewidth 8 8
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=471 1fjl-pp-004 treewidth 26 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=470 1fk5 treewidth 31 29
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=469 1fpo treewidth 31 29
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=468 1fpo-pp treewidth 31 29
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=467 1fr3 treewidth 21 21
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=466 1fr3-pp treewidth 21 21
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=465 1fs1 treewidth 34 32
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=464 1fse treewidth 27 25
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=463 1g2b treewidth 28 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=462 1g2b-pp treewidth 28 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=460 1g2r treewidth 37 34
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=461 1g2r-pp treewidth 37 34
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=459 1g3p treewidth 45 34
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=458 1g3p-pp treewidth 45 34
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=457 1g6x treewidth 19 19
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=456 1gcq treewidth 30 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=455 1gcq-pp treewidth 30 28
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=454 1gef treewidth 43 39
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=453 1gef-pp treewidth 43 39
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=452 1gut treewidth 22 22
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=451 1gut-pp treewidth 22 22
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=434 1hg7 treewidth 29 27
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=448 1i07 treewidth 15 15
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=447 1i07-pp treewidth 15 15
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=446 1i0v treewidth 41 37
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=445 1i27 treewidth 27 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=444 1i27-pp treewidth 27 26
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=443 1i2t treewidth 27 27
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=442 1ig5 treewidth 33 30
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=450 1igd treewidth 25 25
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=449 1igd-pp treewidth 25 25
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=441 1igq treewidth 23 23
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=440 1igq-pp treewidth 23 23
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=439 1iib treewidth 40 37
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=438 1iib-pp treewidth 40 37
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=437 1iqz treewidth 33 29
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=436 1j75 treewidth 27 27
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=435 1jhg treewidth 25 24
http://people.cs.uu.nl/hansb/treewidthlib/graph.php?id=433 1jhg-pp treewidth 25 24
